Source,Source_name,Target,Target_name,Type,Id,Label,Weight
10,#makeupaddict,15,#makeuplook,Undirected,713,,2
7,#hudabeauty,16,#beauty,Undirected,714,,2
7,#hudabeauty,17,#bridalmakeup,Undirected,715,,2
8,#bride,17,#bridalmakeup,Undirected,716,,2
10,#makeupaddict,17,#bridalmakeup,Undirected,717,,2
11,#wakeupandmakeup,17,#bridalmakeup,Undirected,718,,2
12,#makeuplooks,17,#bridalmakeup,Undirected,719,,2
14,#anastasiabeverlyhills,17,#bridalmakeup,Undirected,720,,2
7,#hudabeauty,18,#glam,Undirected,721,,2
10,#makeupaddict,18,#glam,Undirected,722,,2
11,#wakeupandmakeup,18,#glam,Undirected,723,,2
5,#morphe,19,#makeupforever,Undirected,724,,1
9,#atlmua,19,#makeupforever,Undirected,725,,1
13,#makeupart,19,#makeupforever,Undirected,726,,2
14,#anastasiabeverlyhills,19,#makeupforever,Undirected,727,,1
17,#bridalmakeup,19,#makeupforever,Undirected,728,,1
18,#glam,19,#makeupforever,Undirected,729,,1
4,#makeupideas,20,#makeuplover,Undirected,730,,2
7,#hudabeauty,20,#makeuplover,Undirected,731,,2
8,#bride,20,#makeuplover,Undirected,732,,2
12,#makeuplooks,20,#makeuplover,Undirected,733,,2
15,#makeuplook,20,#makeuplover,Undirected,734,,2
18,#glam,20,#makeuplover,Undirected,735,,2
5,#morphe,21,#makeupjunkie,Undirected,736,,2
17,#bridalmakeup,21,#makeupjunkie,Undirected,737,,1
18,#glam,21,#makeupjunkie,Undirected,738,,1
15,#makeuplook,23,#lipstick,Undirected,739,,2
18,#glam,23,#lipstick,Undirected,740,,2
4,#makeupideas,24,#mua,Undirected,741,,2
5,#morphe,24,#mua,Undirected,742,,2
8,#bride,24,#mua,Undirected,743,,2
14,#anastasiabeverlyhills,24,#mua,Undirected,744,,2
15,#makeuplook,24,#mua,Undirected,745,,2
17,#bridalmakeup,24,#mua,Undirected,746,,2
6,#fentybeauty,25,#makeupbyme,Undirected,747,,2
7,#hudabeauty,25,#makeupbyme,Undirected,748,,2
8,#bride,25,#makeupbyme,Undirected,749,,1
12,#makeuplooks,25,#makeupbyme,Undirected,750,,2
13,#makeupart,25,#makeupbyme,Undirected,751,,2
15,#makeuplook,25,#makeupbyme,Undirected,752,,2
19,#makeupforever,25,#makeupbyme,Undirected,753,,2
15,#makeuplook,26,#eyeshadow,Undirected,754,,2
17,#bridalmakeup,26,#eyeshadow,Undirected,755,,2
5,#morphe,14,#anastasiabeverlyhills,Undirected,756,,1
8,#bride,18,#glam,Undirected,757,,1
14,#anastasiabeverlyhills,18,#glam,Undirected,758,,1
12,#makeuplooks,19,#makeupforever,Undirected,759,,1
15,#makeuplook,21,#makeupjunkie,Undirected,760,,1
14,#anastasiabeverlyhills,22,#morphebrushes,Undirected,761,,1
14,#anastasiabeverlyhills,23,#lipstick,Undirected,762,,1
17,#bridalmakeup,23,#lipstick,Undirected,763,,1
6,#fentybeauty,24,#mua,Undirected,764,,1
6,#fentybeauty,26,#eyeshadow,Undirected,765,,1
4,#makeupideas,27,#makeupoftheday,Undirected,766,,1
6,#fentybeauty,27,#makeupoftheday,Undirected,767,,1
7,#hudabeauty,27,#makeupoftheday,Undirected,768,,1
8,#bride,27,#makeupoftheday,Undirected,769,,1
10,#makeupaddict,27,#makeupoftheday,Undirected,770,,1
15,#makeuplook,27,#makeupoftheday,Undirected,771,,1
16,#beauty,27,#makeupoftheday,Undirected,772,,1
17,#bridalmakeup,27,#makeupoftheday,Undirected,773,,1
19,#makeupforever,27,#makeupoftheday,Undirected,774,,1
20,#makeuplover,27,#makeupoftheday,Undirected,775,,1
23,#lipstick,27,#makeupoftheday,Undirected,776,,1
24,#mua,27,#makeupoftheday,Undirected,777,,1
25,#makeupbyme,27,#makeupoftheday,Undirected,778,,1
4,#makeupideas,28,#maccosmetics,Undirected,779,,1
6,#fentybeauty,28,#maccosmetics,Undirected,780,,1
7,#hudabeauty,28,#maccosmetics,Undirected,781,,1
8,#bride,28,#maccosmetics,Undirected,782,,1
10,#makeupaddict,28,#maccosmetics,Undirected,783,,1
15,#makeuplook,28,#maccosmetics,Undirected,784,,1
16,#beauty,28,#maccosmetics,Undirected,785,,1
17,#bridalmakeup,28,#maccosmetics,Undirected,786,,1
20,#makeuplover,28,#maccosmetics,Undirected,787,,1
22,#morphebrushes,28,#maccosmetics,Undirected,788,,1
23,#lipstick,28,#maccosmetics,Undirected,789,,1
24,#mua,28,#maccosmetics,Undirected,790,,1
25,#makeupbyme,28,#maccosmetics,Undirected,791,,1
7,#hudabeauty,29,#tartecosmetics,Undirected,792,,1
16,#beauty,29,#tartecosmetics,Undirected,793,,1
24,#mua,29,#tartecosmetics,Undirected,794,,1
